dinosaurio,tokens
aachenosaurus,a a cheno sauru s </EOW>
aardonyx,a ar don y x </EOW>
abdallahsaurus,ab dal la h sauru s </EOW>
abelisaurus,abelisauru s </EOW>
abrictosaurus,ab ri c to sauru s </EOW>
abrosaurus,ab ro sauru s </EOW>
abydosaurus,aby do sauru s </EOW>
acanthopholis,a can thopho lis </EOW>
achelousaurus,a chelo u sauru s </EOW>
acheroraptor,a cherora p tor </EOW>
achillesaurus,a chil le sauru s </EOW>
achillobator,a chil lo bator </EOW>
acristavus,a crista vu s </EOW>
acrocanthosaurus,a cro can tho sauru s </EOW>
acrotholus,a cro tho lu s </EOW>
actiosaurus,a c ti o sauru s </EOW>
adamantisaurus,a daman tisauru s </EOW>
adasaurus,a da sauru s </EOW>
adelolophus,a delo lophu s </EOW>
adeopapposaurus,a deopa p po sauru s </EOW>
aegyptosaurus,ae g yp to sauru s </EOW>
aeolosaurus,aeo lo sauru s </EOW>
aepisaurus,aepisauru s </EOW>
aepyornithomimus,ae pyornitho mi mu s </EOW>
aerosteon,aero steon </EOW>
aetonyxafromimus,ae ton y xa f ro mi mu s </EOW>
afrovenator,a f ro venator </EOW>
agathaumas,agathau ma s </EOW>
aggiosaurus,ag gi o sauru s </EOW>
agilisaurus,agilisauru s </EOW>
agnosphitys,ag no sphi ty s </EOW>
agrosaurus,ag ro sauru s </EOW>
agujaceratops,agu ja ceratop s </EOW>
agustinia,agu stinia </EOW>
ahshislepelta,a h shis lepelta </EOW>
airakoraptor,a i ra kora p tor </EOW>
ajancingenia,a jan cin genia </EOW>
ajkaceratops,a j ka ceratop s </EOW>
alamosaurus,alamo sauru s </EOW>
alaskacephale,ala s ka cephale </EOW>
albalophosaurus,al balopho sauru s </EOW>
albertaceratops,alberta ceratop s </EOW>
albertadromeus,alberta dro meu s </EOW>
albertavenator,alberta venator </EOW>
albertonykus,alber ton y ku s </EOW>
albertosaurus,alber to sauru s </EOW>
albinykus,al bin y ku s </EOW>
albisaurus,al bisauru s </EOW>
alcovasaurus,al co va sauru s </EOW>
alectrosaurus,ale c tro sauru s </EOW>
aletopelta,ale topelta </EOW>
algoasaurus,al go a sauru s </EOW>
alioramus,ali oramu s </EOW>
aliwalia,ali walia </EOW>
allosaurus,al lo sauru s </EOW>
almas,al ma s </EOW>
alnashetri,al na she tri </EOW>
alocodon,alo co don </EOW>
altirhinus,al ti r hin u s </EOW>
altispinax,al tispina x </EOW>
alvarezsaurus,al vare z sauru s </EOW>
alwalkeria,al wal keria </EOW>
alxasaurus,al xa sauru s </EOW>
amargasaurus,amar ga sauru s </EOW>
amargastegos,amar ga stego s </EOW>
amargatitanis,amar gatitanis </EOW>
amazonsaurus,ama z on sauru s </EOW>
ammosaurus,am mo sauru s </EOW>
ampelosaurus,ampelo sauru s </EOW>
amphicoelias,amphi co elia s </EOW>
amphicoelicaudia,amphi co eli cau dia </EOW>
amphisaurus,amphisauru s </EOW>
amtocephale,am to cephale </EOW>
amtosaurus,am to sauru s </EOW>
amurosaurus,amuro sauru s </EOW>
amygdalodon,am y g dalo don </EOW>
anabisetia,anabise tia </EOW>
anasazisaurus,ana sa z isauru s </EOW>
anatosaurus,anato sauru s </EOW>
anatotitan,anato titan </EOW>
anchiceratops,an chi ceratop s </EOW>
anchiornis,an chi ornis </EOW>
anchisaurus,an chisauru s </EOW>
andesaurus,an de sauru s </EOW>
andhrasaurus,an d h ra sauru s </EOW>
angaturama,an gat urama </EOW>
angloposeidon,an g lopo sei don </EOW>
angolatitan,an go latitan </EOW>
angulomastacator,an gu lo ma sta cator </EOW>
aniksosaurus,ani k so sauru s </EOW>
animantarx,ani man tar x </EOW>
ankistrodon,an kistro don </EOW>
ankylosaurus,an k y lo sauru s </EOW>
anodontosaurus,ano don to sauru s </EOW>
anoplosaurus,anoplo sauru s </EOW>
anserimimus,an seri mi mu s </EOW>
antarctopelta,an tar c topelta </EOW>
antarctosaurus,an tar c to sauru s </EOW>
antetonitrus,an te toni t ru s </EOW>
anthodon,an tho don </EOW>
antrodemus,an tro de mu s </EOW>
anzu,an zu </EOW>
aoniraptor,a oni ra p tor </EOW>
aorun,a orun </EOW>
apatodon,a pato don </EOW>
apatoraptor,a patora p tor </EOW>
apatosaurus,a pato sauru s </EOW>
appalachiosaurus,a p pala chi o sauru s </EOW>
aquilops,a qu ilop s </EOW>
aragosaurus,arago sauru s </EOW>
aralosaurus,aralo sauru s </EOW>
araucanoraptor,arau canora p tor </EOW>
archaeoceratops,archaeo ceratop s </EOW>
archaeodontosaurus,archaeo don to sauru s </EOW>
archaeopteryx,archaeop ter y x </EOW>
archaeoraptor,archaeora p tor </EOW>
archaeornis,archaeornis </EOW>
archaeornithoides,archaeornitho i de s </EOW>
archaeornithomimus,archaeornitho mi mu s </EOW>
arcovenator,ar co venator </EOW>
arctosaurus,ar c to sauru s </EOW>
arcusaurus,ar c u sauru s </EOW>
arenysaurus,aren y sauru s </EOW>
argentinosaurus,ar gen tino sauru s </EOW>
argyrosaurus,ar g y ro sauru s </EOW>
aristosaurus,aristo sauru s </EOW>
aristosuchus,aristo su chu s </EOW>
arizonasaurus,ari z ona sauru s </EOW>
arkansaurus,ar kan sauru s </EOW>
arkharavia,ar k hara via </EOW>
arrhinoceratops,ar r hino ceratop s </EOW>
arstanosaurus,ar stano sauru s </EOW>
asiaceratops,a sia ceratop s </EOW>
asiamericana,a siameri cana </EOW>
asiatosaurus,a siato sauru s </EOW>
astrodon,a stro don </EOW>
astrodonius,a stro doni u s </EOW>
astrodontaurus,a stro don tauru s </EOW>
astrophocaudia,a stropho cau dia </EOW>
asylosaurus,a sy lo sauru s </EOW>
atacamatitan,ata camatitan </EOW>
atlantosaurus,at lan to sauru s </EOW>
atlasaurus,at la sauru s </EOW>
atlascopcosaurus,at la s cop co sauru s </EOW>
atrociraptor,atro ci ra p tor </EOW>
atsinganosaurus,at sin gano sauru s </EOW>
aublysodon,au b ly so don </EOW>
aucasaurus,au ca sauru s </EOW>
augustia,augu stia </EOW>
augustynolophus,augu sty no lophu s </EOW>
auroraceratops,aurora ceratop s </EOW>
aurornis,aurornis </EOW>
australodocus,au stralo do c u s </EOW>
australovenator,au stralo venator </EOW>
austrocheirus,au stro chei ru s </EOW>
austroposeidon,au stropo sei don </EOW>
austroraptor,au strora p tor </EOW>
austrosaurus,au stro sauru s </EOW>
avaceratops,a va ceratop s </EOW>
avalonia,a valonia </EOW>
avalonianus,a valonian u s </EOW>
aviatyrannis,a viatyran nis </EOW>
avimimus,a vi mi mu s </EOW>
avisaurus,a visauru s </EOW>
avipes,a vi pe s </EOW>
azendohsaurus,a z en do h sauru s </EOW>
bactrosaurus,ba c tro sauru s </EOW>
bagaceratops,baga ceratop s </EOW>
bagaraatan,bagara atan </EOW>
bahariasaurus,ba haria sauru s </EOW>
bainoceratops,ba ino ceratop s </EOW>
bakesaurus,ba ke sauru s </EOW>
balaur,balaur </EOW>
balochisaurus,balo chisauru s </EOW>
bambiraptor,bam bi ra p tor </EOW>
banji,ban ji </EOW>
baotianmansaurus,ba o tian man sauru s </EOW>
barapasaurus,bara pa sauru s </EOW>
barilium,barili u m </EOW>
barosaurus,baro sauru s </EOW>
barrosasaurus,bar ro sa sauru s </EOW>
barsboldia,bar s bo l dia </EOW>
baryonyx,bar yon y x </EOW>
bashunosaurus,ba shuno sauru s </EOW>
basutodon,ba su to don </EOW>
bathygnathus,bathy gnathu s </EOW>
batyrosaurus,baty ro sauru s </EOW>
baurutitan,bauru titan </EOW>
bayosaurus,ba yo sauru s </EOW>
becklespinax,be c k le spina x </EOW>
beelemodon,be ele mo don </EOW>
beibeilong,bei beilong </EOW>
beipiaognathus,bei pia o gnathu s </EOW>
beipiaosaurus,bei pia o sauru s </EOW>
beishanlong,beishan long </EOW>
bellusaurus,bel lu sauru s </EOW>
belodon,belo don </EOW>
berberosaurus,ber bero sauru s </EOW>
betasuchus,be ta su chu s </EOW>
bicentenaria,bi cen tenaria </EOW>
bienosaurus,bi eno sauru s </EOW>
bihariosaurus,bi hario sauru s </EOW>
bilbeyhallorum,bil be y hal loru m </EOW>
bissektipelta,bis se k ti pelta </EOW>
bistahieversor,bista hi e ver sor </EOW>
blancocerosaurus,b lan co cero sauru s </EOW>
blasisaurus,b la sisauru s </EOW>
blikanasaurus,b li kana sauru s </EOW>
bolong,bo long </EOW>
bonapartenykus,bona par ten y ku s </EOW>
bonapartesaurus,bona par te sauru s </EOW>
bonatitan,bonatitan </EOW>
bonitasaura,boni ta saura </EOW>
borealopelta,bore alopelta </EOW>
borealosaurus,bore alo sauru s </EOW>
boreonykus,boreon y ku s </EOW>
borogovia,boro go via </EOW>
bothriospondylus,bo th rio spondy lu s </EOW>
brachiosaurus,bra chi o sauru s </EOW>
brachyceratops,brachy ceratop s </EOW>
brachylophosaurus,brachy lopho sauru s </EOW>
brachypodosaurus,brachypo do sauru s </EOW>
brachyrophus,brachy rophu s </EOW>
brachytaenius,brachy taeni u s </EOW>
brachytrachelopan,brachy tra chelopan </EOW>
bradycneme,bra dy c neme </EOW>
brasileosaurus,bra sileo sauru s </EOW>
brasilotitan,bra silo titan </EOW>
bravoceratops,bra vo ceratop s </EOW>
breviceratops,b re vi ceratop s </EOW>
brohisaurus,b ro hisauru s </EOW>
brontomerus,bron to meru s </EOW>
brontoraptor,bron tora p tor </EOW>
brontosaurus,bron to sauru s </EOW>
bruhathkayosaurus,b ru hath ka yo sauru s </EOW>
bugenasaura,bugena saura </EOW>
buitreraptor,bu i t rera p tor </EOW>
burianosaurus,buriano sauru s </EOW>
buriolestes,burio le ste s </EOW>
byranjaffia,by ran ja f f ia </EOW>
byronosaurus,by rono sauru s </EOW>
caenagnathasia,caenagnatha sia </EOW>
caenagnathus,caenagnathu s </EOW>
calamosaurus,calamo sauru s </EOW>
calamospondylus,calamo spondy lu s </EOW>
calamospondylus,calamo spondy lu s </EOW>
callovosaurus,cal lo vo sauru s </EOW>
camarasaurus,camara sauru s </EOW>
camarillasaurus,camaril la sauru s </EOW>
camelotia,camelo tia </EOW>
camposaurus,campo sauru s </EOW>
camptonotus,camp tono t u s </EOW>
camptosaurus,camp to sauru s </EOW>
campylodon,campy lo don </EOW>
campylodoniscus,campy lo donis c u s </EOW>
canardia,canar dia </EOW>
capitalsaurus,ca pi tal sauru s </EOW>
carcharodontosaurus,carcharo don to sauru s </EOW>
cardiodon,car di o don </EOW>
carnotaurus,car no tauru s </EOW>
caseosaurus,ca seo sauru s </EOW>
cathartesaura,cathar te saura </EOW>
cathetosaurus,cathe to sauru s </EOW>
caudipteryx,cau di p ter y x </EOW>
caudocoelus,cau do co elu s </EOW>
caulodon,cau lo don </EOW>
cedarosaurus,cedaro sauru s </EOW>
cedarpelta,cedar pelta </EOW>
cedrorestes,cedrore ste s </EOW>
centemodon,cen te mo don </EOW>
centrosaurus,cen tro sauru s </EOW>
cerasinops,cera sinop s </EOW>
ceratonykus,ceraton y ku s </EOW>
ceratops,ceratop s </EOW>
ceratosaurus,cerato sauru s </EOW>
cetiosauriscus,ce ti o sauris c u s </EOW>
cetiosaurus,ce ti o sauru s </EOW>
changchunsaurus,chang chun sauru s </EOW>
changdusaurus,chang d u sauru s </EOW>
changyuraptor,chang yura p tor </EOW>
chaoyangsaurus,cha o yang sauru s </EOW>
charonosaurus,charono sauru s </EOW>
chasmosaurus,cha s mo sauru s </EOW>
chassternbergia,cha s ster n ber gia </EOW>
chebsaurus,che b sauru s </EOW>
chenanisaurus,chenanisauru s </EOW>
cheneosaurus,cheneo sauru s </EOW>
chialingosaurus,chialin go sauru s </EOW>
chiayusaurus,chia yu sauru s </EOW>
chienkosaurus,chi en ko sauru s </EOW>
chihuahuasaurus,chi hua hua sauru s </EOW>
chilantaisaurus,chilan ta isauru s </EOW>
chilesaurus,chile sauru s </EOW>
chindesaurus,chin de sauru s </EOW>
chingkankousaurus,chin g kan ko u sauru s </EOW>
chinshakiangosaurus,chin sha kian go sauru s </EOW>
chirostenotes,chi ro steno te s </EOW>
choconsaurus,cho con sauru s </EOW>
chondrosteosaurus,chon dro steo sauru s </EOW>
chromogisaurus,ch ro mo gisauru s </EOW>
chuandongocoelurus,chuan dongo co eluru s </EOW>
chuanjiesaurus,chuan ji e sauru s </EOW>
chuanqilong,chuan q ilong </EOW>
chubutisaurus,chu bu tisauru s </EOW>
chungkingosaurus,chun g kin go sauru s </EOW>
chuxiongosaurus,chu xi ongo sauru s </EOW>
cinizasaurus,cini za sauru s </EOW>
cionodon,ci ono don </EOW>
citipati,ci ti pati </EOW>
cladeiodon,cla dei o don </EOW>
claorhynchus,cla or hy n chu s </EOW>
claosaurus,cla o sauru s </EOW>
clarencea,claren ce a </EOW>
clasmodosaurus,cla s mo do sauru s </EOW>
clepsysaurus,c lep sy sauru s </EOW>
coahuilaceratops,co a hu ila ceratop s </EOW>
coelophysis,co elophy sis </EOW>
coelosaurus,co elo sauru s </EOW>
coeluroides,co eluro i de s </EOW>
coelurosauravus,co eluro saura vu s </EOW>
coelurus,co eluru s </EOW>
colepiocephale,co lepi o cephale </EOW>
coloradia,colora dia </EOW>
coloradisaurus,colora disauru s </EOW>
colossosaurus,colos so sauru s </EOW>
comahuesaurus,co ma hue sauru s </EOW>
comanchesaurus,co man che sauru s </EOW>
compsognathus,compso gnathu s </EOW>
compsosuchus,compso su chu s </EOW>
concavenator,con ca venator </EOW>
conchoraptor,con chora p tor </EOW>
condorraptor,con dor ra p tor </EOW>
coronosaurus,corono sauru s </EOW>
corythoraptor,cor y thora p tor </EOW>
corythosaurus,cor y tho sauru s </EOW>
craspedodon,c ra spedo don </EOW>
crataeomus,c rataeo mu s </EOW>
craterosaurus,c ratero sauru s </EOW>
creosaurus,c reo sauru s </EOW>
crichtonpelta,cri ch ton pelta </EOW>
crichtonsaurus,cri ch ton sauru s </EOW>
cristatusaurus,cristat u sauru s </EOW>
crosbysaurus,cro s by sauru s </EOW>
cruxicheiros,c ru xi chei ro s </EOW>
cryolophosaurus,c r yo lopho sauru s </EOW>
cryptodraco,cryp to draco </EOW>
cryptoraptor,cryp tora p tor </EOW>
cryptosaurus,cryp to sauru s </EOW>
cryptovolans,cryp to vo lan s </EOW>
cumnoria,c u m noria </EOW>
daanosaurus,da ano sauru s </EOW>
dacentrurus,da cen t ruru s </EOW>
dachongosaurus,da chongo sauru s </EOW>
daemonosaurus,dae mono sauru s </EOW>
dahalokely,da halo kely </EOW>
dakosaurus,da ko sauru s </EOW>
dakotadon,da ko ta don </EOW>
dakotaraptor,da ko tara p tor </EOW>
daliansaurus,dalian sauru s </EOW>
damalasaurus,damala sauru s </EOW>
dandakosaurus,dan da ko sauru s </EOW>
danubiosaurus,dan u bi o sauru s </EOW>
daptosaurus,da p to sauru s </EOW>
darwinsaurus,dar w in sauru s </EOW>
dashanpusaurus,da shan pu sauru s </EOW>
daspletosaurus,da sp le to sauru s </EOW>
dasygnathoides,da sy gnatho i de s </EOW>
dasygnathus,da sy gnathu s </EOW>
datanglong,datan g long </EOW>
datonglong,datong long </EOW>
datousaurus,dato u sauru s </EOW>
daurosaurus,dauro sauru s </EOW>
daxiatitan,da xiatitan </EOW>
deinocheirus,deino chei ru s </EOW>
deinodon,deino don </EOW>
deinonychus,deinon y chu s </EOW>
delapparentia,dela p paren tia </EOW>
deltadromeus,delta dro meu s </EOW>
demandasaurus,de man da sauru s </EOW>
denversaurus,den ver sauru s </EOW>
deuterosaurus,deu tero sauru s </EOW>
diabloceratops,diab lo ceratop s </EOW>
diamantinasaurus,diaman tina sauru s </EOW>
dianchungosaurus,dian chun go sauru s </EOW>
diceratops,di ceratop s </EOW>
diceratusdiclonius,di cerat u s di c loni u s </EOW>
dicraeosaurus,di c raeo sauru s </EOW>
didanodondilong,di dano don dilong </EOW>
dilophosaurus,dilopho sauru s </EOW>
diluvicursor,dilu vi cur sor </EOW>
dimodosaurus,di mo do sauru s </EOW>
dinheirosaurus,din hei ro sauru s </EOW>
dinodocus,dino do c u s </EOW>
dinotyrannus,dino tyran n u s </EOW>
diplodocus,di plo do c u s </EOW>
diplotomodon,di plo to mo don </EOW>
diracodon,di ra co don </EOW>
dolichosuchus,do li cho su chu s </EOW>
dollodon,do l lo don </EOW>
domeykosaurus,do me y ko sauru s </EOW>
dongbeititan,dong bei titan </EOW>
dongyangopelta,dong yangopelta </EOW>
dongyangosaurus,dong yango sauru s </EOW>
doratodon,dorato don </EOW>
doryphorosaurus,doryphoro sauru s </EOW>
draconyx,dracon y x </EOW>
dracopelta,dracopelta </EOW>
dracoraptor,dracora p tor </EOW>
dracorex,dracore x </EOW>
dracovenator,draco venator </EOW>
dravidosaurus,dra vi do sauru s </EOW>
dreadnoughtus,d re a d no ug h t u s </EOW>
drinker,d rin ker </EOW>
dromaeosauroides,dro maeo sauro i de s </EOW>
dromaeosaurus,dro maeo sauru s </EOW>
dromiceiomimus,dro mi cei o mi mu s </EOW>
dromicosaurus,dro mi co sauru s </EOW>
drusilasaura,d ru sila saura </EOW>
dryosaurus,d r yo sauru s </EOW>
dryptosauroides,d ryp to sauro i de s </EOW>
dryptosaurus,d ryp to sauru s </EOW>
dubreuillosaurus,d u b reu il lo sauru s </EOW>
duriatitan,d uriatitan </EOW>
duriavenator,d uria venator </EOW>
dynamosaurus,dy namo sauru s </EOW>
dyoplosaurus,dyoplo sauru s </EOW>
dysalotosaurus,dy salo to sauru s </EOW>
dysganus,dy s gan u s </EOW>
dyslocosaurus,dy s lo co sauru s </EOW>
dystrophaeus,dy strophaeu s </EOW>
dystylosaurus,dy sty lo sauru s </EOW>
echinodon,e chino don </EOW>
edmarka,ed mar ka </EOW>
edmontonia,ed mon tonia </EOW>
edmontosaurus,ed mon to sauru s </EOW>
efraasia,e f ra a sia </EOW>
einiosaurus,eini o sauru s </EOW>
ekrixinatosaurus,e kri xinato sauru s </EOW>
elachistosuchus,ela chisto su chu s </EOW>
elaltitan,elal titan </EOW>
elaphrosaurus,ela ph ro sauru s </EOW>
elmisaurus,el misauru s </EOW>
elopteryx,elop ter y x </EOW>
elosaurus,elo sauru s </EOW>
elrhazosaurus,el r ha z o sauru s </EOW>
elvisaurus,el visauru s </EOW>
emausaurus,e mau sauru s </EOW>
embasaurus,e m ba sauru s </EOW>
enigmosaurus,eni g mo sauru s </EOW>
eoabelisaurus,eo abelisauru s </EOW>
eobrontosaurus,eo bron to sauru s </EOW>
eocarcharia,eo carcharia </EOW>
eoceratops,eo ceratop s </EOW>
eocursor,eo cur sor </EOW>
eodromaeus,eo dro maeu s </EOW>
eohadrosaurus,eo hadro sauru s </EOW>
eolambia,eo lam bia </EOW>
eomamenchisaurus,eo mamen chisauru s </EOW>
eoplophysis,eoplophy sis </EOW>
eoraptor,eora p tor </EOW>
eosinopteryx,eo sinop ter y x </EOW>
eotrachodon,eo tra cho don </EOW>
eotriceratops,eo tri ceratop s </EOW>
eotyrannus,eo tyran n u s </EOW>
eousdryosaurus,eo u s d r yo sauru s </EOW>
epachthosaurus,e pa ch tho sauru s </EOW>
epanterias,e pan teria s </EOW>
ephoenosaurus,e pho eno sauru s </EOW>
epicampodon,epi campo don </EOW>
epichirostenotes,epi chi ro steno te s </EOW>
epidendrosaurus,epi den dro sauru s </EOW>
epidexipteryx,epi de xi p ter y x </EOW>
equijubus,e qu i ju bu s </EOW>
erectopus,ere c topu s </EOW>
erketu,er ke t u </EOW>
erliansaurus,er lian sauru s </EOW>
erlikosaurus,er li ko sauru s </EOW>
eshanosaurus,e shano sauru s </EOW>
euacanthus,eu a can thu s </EOW>
eucamerotus,eu camero t u s </EOW>
eucentrosaurus,eu cen tro sauru s </EOW>
eucercosaurus,eu cer co sauru s </EOW>
eucnemesaurus,eu c neme sauru s </EOW>
eucoelophysis,eu co elophy sis </EOW>
eugongbusaurus,eugong bu sauru s </EOW>
euhelopus,eu helopu s </EOW>
euoplocephalus,eu oplo ce phalu s </EOW>
eupodosaurus,eu po do sauru s </EOW>
eureodon,eureo don </EOW>
eurolimnornis,euro lim nornis </EOW>
euronychodon,euron y cho don </EOW>
europasaurus,europa sauru s </EOW>
europatitan,europatitan </EOW>
europelta,europelta </EOW>
euskelosaurus,eu s kelo sauru s </EOW>
eustreptospondylus,eu st re p to spondy lu s </EOW>
fabrosaurus,f ab ro sauru s </EOW>
falcarius,f al cari u s </EOW>
fendusaurus,fen d u sauru s </EOW>
fenestrosaurus,fene stro sauru s </EOW>
ferganasaurus,fer gana sauru s </EOW>
ferganastegos,fer gana stego s </EOW>
ferganocephale,fer gano cephale </EOW>
foraminacephale,f oramina cephale </EOW>
fosterovenator,f o stero venator </EOW>
frenguellisaurus,f ren gu el lisauru s </EOW>
fruitadens,f ru i ta den s </EOW>
fukuiraptor,fukui ra p tor </EOW>
fukuisaurus,fukuisauru s </EOW>
fukuititan,fukui titan </EOW>
fukuivenator,fukui venator </EOW>
fulengia,fu len gia </EOW>
fulgurotherium,fu l guro theri u m </EOW>
fusinasus,fu sina su s </EOW>
