,token
0,a
1,cheno
2,sauru
3,s
4,</EOW>
5,ar
6,don
7,y
8,x
9,ab
10,dal
11,la
12,h
13,abelisauru
14,ri
15,c
16,to
17,ro
18,aby
19,do
20,can
21,thopho
22,lis
23,chelo
24,u
25,cherora
26,p
27,tor
28,chil
29,le
30,lo
31,bator
32,crista
33,vu
34,cro
35,tho
36,lu
37,ti
38,o
39,daman
40,tisauru
41,da
42,delo
43,lophu
44,deopa
45,po
46,ae
47,g
48,yp
49,aeo
50,aepisauru
51,pyornitho
52,mi
53,mu
54,aero
55,steon
56,ton
57,xa
58,f
59,venator
60,agathau
61,ma
62,ag
63,gi
64,agilisauru
65,no
66,sphi
67,ty
68,agu
69,ja
70,ceratop
71,stinia
72,shis
73,lepelta
74,i
75,ra
76,kora
77,jan
78,cin
79,genia
80,j
81,ka
82,alamo
83,ala
84,cephale
85,al
86,balopho
87,alberta
88,dro
89,meu
90,alber
91,ku
92,bin
93,bisauru
94,co
95,va
96,ale
97,tro
98,topelta
99,go
100,ali
101,oramu
102,walia
103,na
104,she
105,tri
106,alo
107,r
108,hin
109,tispina
110,vare
111,z
112,wal
113,keria
114,amar
115,ga
116,stego
117,gatitanis
118,ama
119,on
120,am
121,mo
122,ampelo
123,amphi
124,elia
125,eli
126,cau
127,dia
128,amphisauru
129,amuro
130,dalo
131,anabise
132,tia
133,ana
134,sa
135,isauru
136,anato
137,titan
138,an
139,chi
140,ornis
141,chisauru
142,de
143,d
144,gat
145,urama
146,lopo
147,sei
148,latitan
149,gu
150,sta
151,cator
152,ani
153,k
154,so
155,man
156,tar
157,kistro
158,ano
159,anoplo
160,seri
161,te
162,toni
163,t
164,ru
165,zu
166,oni
167,orun
168,pato
169,patora
170,pala
171,qu
172,ilop
173,arago
174,aralo
175,arau
176,canora
177,archaeo
178,archaeop
179,ter
180,archaeora
181,archaeornis
182,archaeornitho
183,aren
184,gen
185,tino
186,aristo
187,su
188,chu
189,ari
190,ona
191,kan
192,hara
193,via
194,hino
195,stano
196,sia
197,siameri
198,cana
199,siato
200,stro
201,doni
202,tauru
203,stropho
204,sy
205,ata
206,camatitan
207,at
208,lan
209,cop
210,atro
211,ci
212,sin
213,gano
214,au
215,b
216,ly
217,ca
218,augu
219,stia
220,sty
221,aurora
222,aurornis
223,stralo
224,chei
225,stropo
226,strora
227,valonia
228,valonian
229,viatyran
230,nis
231,vi
232,visauru
233,pe
234,en
235,ba
236,baga
237,bagara
238,atan
239,haria
240,ino
241,ke
242,balaur
243,balo
244,bam
245,bi
246,ban
247,ji
248,tian
249,bara
250,pa
251,barili
252,m
253,baro
254,bar
255,bo
256,l
257,yon
258,shuno
259,bathy
260,gnathu
261,baty
262,bauru
263,yo
264,be
265,spina
266,ele
267,bei
268,beilong
269,pia
270,beishan
271,long
272,bel
273,belo
274,ber
275,bero
276,ta
277,cen
278,tenaria
279,eno
280,hario
281,bil
282,hal
283,loru
284,bis
285,se
286,pelta
287,bista
288,hi
289,e
290,ver
291,sor
292,cero
293,sisauru
294,li
295,kana
296,bona
297,par
298,ten
299,bonatitan
300,boni
301,saura
302,bore
303,alopelta
304,boreon
305,boro
306,th
307,rio
308,spondy
309,bra
310,brachy
311,lopho
312,brachypo
313,rophu
314,taeni
315,tra
316,chelopan
317,dy
318,neme
319,sileo
320,silo
321,vo
322,re
323,hisauru
324,bron
325,meru
326,tora
327,hath
328,bugena
329,bu
330,rera
331,buriano
332,burio
333,ste
334,by
335,ran
336,ia
337,rono
338,caenagnatha
339,caenagnathu
340,calamo
341,cal
342,camara
343,camaril
344,camelo
345,campo
346,camp
347,tono
348,campy
349,donis
350,canar
351,pi
352,tal
353,carcharo
354,car
355,di
356,seo
357,cathar
358,cathe
359,elu
360,cedaro
361,cedar
362,cedrore
363,cera
364,sinop
365,ceraton
366,cerato
367,ce
368,sauris
369,chang
370,chun
371,yura
372,cha
373,yang
374,charono
375,ster
376,n
377,gia
378,che
379,chenanisauru
380,cheneo
381,chialin
382,chia
383,yu
384,ko
385,hua
386,chilan
387,chile
388,chin
389,sha
390,kian
391,steno
392,cho
393,con
394,chon
395,steo
396,ch
397,gisauru
398,chuan
399,dongo
400,eluru
401,q
402,ilong
403,kin
404,xi
405,ongo
406,cini
407,za
408,ono
409,pati
410,cla
411,dei
412,or
413,hy
414,claren
415,lep
416,hu
417,ila
418,elophy
419,sis
420,elo
421,eluro
422,lepi
423,colora
424,disauru
425,colos
426,hue
427,compso
428,chora
429,dor
430,corono
431,cor
432,thora
433,spedo
434,rataeo
435,ratero
436,reo
437,cri
438,cristat
439,cryp
440,draco
441,noria
442,ruru
443,chongo
444,dae
445,mono
446,halo
447,kely
448,tara
449,dalian
450,damala
451,dan
452,dar
453,w
454,in
455,shan
456,pu
457,sp
458,gnatho
459,datan
460,datong
461,dato
462,dauro
463,xiatitan
464,deino
465,deinon
466,dela
467,paren
468,delta
469,den
470,deu
471,tero
472,diab
473,diaman
474,tina
475,dian
476,cerat
477,loni
478,raeo
479,dano
480,dilong
481,dilopho
482,dilu
483,cur
484,din
485,hei
486,dino
487,tyran
488,plo
489,me
490,dong
491,yangopelta
492,yango
493,dorato
494,doryphoro
495,dracon
496,dracopelta
497,dracora
498,dracore
499,dra
500,ug
501,rin
502,ker
503,maeo
504,sauro
505,cei
506,sila
507,ryp
508,reu
509,il
510,uriatitan
511,uria
512,namo
513,dyoplo
514,salo
515,gan
516,strophaeu
517,chino
518,ed
519,mar
520,mon
521,tonia
522,eini
523,kri
524,xinato
525,ela
526,chisto
527,elal
528,ph
529,el
530,misauru
531,elop
532,ha
533,mau
534,eni
535,eo
536,carcharia
537,maeu
538,hadro
539,lam
540,bia
541,mamen
542,eoplophy
543,eora
544,pan
545,teria
546,pho
547,epi
548,ju
549,ere
550,topu
551,er
552,lian
553,shano
554,eu
555,thu
556,camero
557,cer
558,eugong
559,helopu
560,oplo
561,phalu
562,eureo
563,euro
564,lim
565,nornis
566,euron
567,europa
568,europatitan
569,europelta
570,kelo
571,st
572,cari
573,fen
574,fene
575,fer
576,gana
577,oramina
578,stero
579,ren
580,lisauru
581,fukui
582,fukuisauru
583,fu
584,len
585,guro
586,theri
587,sina
588,futaba
589,futalo
590,gale
591,amopu
592,gal
593,limi
594,veo
595,ve
596,nan
597,zho
598,gar
599,leo
600,garu
601,sparinisaura
602,stonia
603,vino
604,ge
605,mini
606,gerano
607,deon
608,mantel
609,lia
610,gigano
611,gigan
612,celu
613,spino
614,gil
615,moreo
616,gin
617,nare
618,atitan
619,cialisauru
620,lisha
621,lyp
622,kele
623,gobi
624,gobisauru
625,gon
626,wanatitan
627,gong
628,quan
629,xiano
630,gor
631,gra
632,cili
633,cilisu
634,lyo
635,phornis
636,rypho
637,rypon
638,rypo
639,guan
640,ned
641,ypo
642,hae
643,hag
644,ryphu
645,lopu
646,sz
647,kara
648,han
649,wu
650,haplo
651,har
652,py
653,ya
654,he
655,cata
656,heilong
657,jiango
658,heishan
659,heli
660,steornis
661,her
662,sto
663,speron
664,spero
665,xing
666,xin
667,yuan
668,nia
669,ero
670,hisano
671,hama
672,histria
673,ho
674,malo
675,hong
676,hop
677,hoplo
678,hor
679,shamo
680,talo
681,huabeisauru
682,hualian
683,huanan
684,huan
685,xiagnathu
686,xia
687,canau
688,san
689,hun
690,garo
691,laeo
692,shypa
693,hyp
694,selor
695,chis
696,selo
697,spin
698,si
699,silopho
700,hophu
701,habo
702,rani
703,thyo
704,gna
705,guana
706,guano
707,ili
708,ilo
709,cisi
710,tator
711,isaber
712,isano
713,is
714,chy
715,isisauru
716,pal
717,janen
718,xar
719,seno
720,wati
721,jian
722,chango
723,jiang
724,jun
725,mia
726,juno
727,xisauru
728,jianian
729,hualong
730,jin
731,gop
732,uta
733,baria
734,puria
735,jura
736,juratyran
737,kaga
738,kuru
739,karonga
740,kate
741,pen
742,kat
743,yama
744,kel
745,yisauru
746,ken
747,ruro
748,tranisauru
749,kile
750,ki
751,danisauru
752,lamelisauru
753,koparion
754,kore
755,shisauru
756,utalisauru
757,top
758,zano
759,kisauru
760,lin
761,kun
762,uro
763,min
764,szho
765,labo
766,cania
767,lab
768,laela
769,lae
770,visu
771,lager
772,lago
773,lama
774,beo
775,lame
776,lamp
777,lug
778,lana
779,pampa
780,lata
781,lateni
782,venatri
783,lati
784,ael
785,lein
786,lei
787,sano
788,leonera
789,v
790,ne
791,isu
792,liaonin
793,gabu
794,eino
795,lili
796,lima
797,limu
798,hen
799,hera
800,lon
801,longis
802,longo
803,lophor
804,thon
805,stropheu
806,lori
807,cato
808,sil
809,urin
810,hano
811,luan
812,pin
813,ciano
814,lur
815,tano
816,rona
817,celo
818,macro
819,tophi
820,macrophalan
821,seni
822,magna
823,pau
824,magnaman
825,mag
826,ni
827,stris
828,magu
829,yaro
830,kala
831,gatho
832,malar
833,mala
834,male
835,mani
836,churo
837,mano
838,mara
839,marisauru
840,maro
841,sho
842,thara
843,matherono
844,kalisauru
845,med
846,mega
847,megalo
848,megara
849,mei
850,melanoro
851,men
852,mer
853,curi
854,mero
855,teno
856,tria
857,micro
858,micropachy
859,phalo
860,microra
861,era
862,fune
863,mino
864,taura
865,raga
866,ris
867,abo
868,ham
869,mongo
870,kono
871,monon
872,morel
873,morino
874,moro
875,mor
876,muru
877,tabur
878,elen
879,ora
880,nam
881,balia
882,nin
883,nano
884,shi
885,un
886,naram
887,enatitan
888,natrona
889,nedo
890,nei
891,nemeg
892,neo
893,neu
894,ger
895,brara
896,pono
897,nop
898,nor
899,ron
900,tere
901,the
902,yororo
903,deno
904,loro
905,meisauru
906,kia
907,opistho
908,orino
909,nato
910,sornitho
911,ornitho
912,ornithop
913,oro
914,goni
915,urano
916,vero
917,vora
918,xala
919,pachy
920,saurop
921,dil
922,palaeo
923,sornis
924,palaeop
925,paleo
926,palu
927,pampara
928,panameri
929,dora
930,gura
931,panoplo
932,phagia
933,para
934,parali
935,paran
936,parar
937,hab
938,pareia
939,paron
940,patagon
941,patago
942,pedopen
943,peishan
944,kino
945,pele
946,cani
947,pel
948,rinisauru
949,pelorop
950,peloro
951,penelopo
952,phaedro
953,philo
954,phu
955,ian
956,phy
957,piat
958,pina
959,pisano
960,lani
961,lateo
962,laty
963,leuro
964,leuropel
965,mato
966,matora
967,kilop
968,leuron
969,lyona
970,ponero
971,steu
972,popo
973,hania
974,reno
975,cono
976,pro
977,propanoplo
978,prop
979,tarchaeop
980,proto
981,vis
982,protoro
983,yan
984,seu
985,teropely
986,yongo
987,lane
988,none
989,rora
990,wan
991,palong
992,hona
993,pator
994,tore
995,rat
996,rati
997,vate
998,zanan
999,drongo
1000,gali
1001,hinore
1002,hopalo
1003,riabinino
1004,char
1005,rile
1006,chenia
1007,leia
1008,rugo
1009,rugop
1010,watitan
1011,cisauru
1012,hali
1013,yania
1014,chania
1015,sal
1016,damo
1017,salimo
1018,trio
1019,juan
1020,tanara
1021,sara
1022,sar
1023,sat
1024,ur
1025,nalia
1026,saurae
1027,sauroni
1028,op
1029,sauropelta
1030,saurophagana
1031,saurophagu
1032,sauropo
1033,saurornitho
1034,van
1035,soriop
1036,phon
1037,celi
1038,uru
1039,lero
1040,colosauru
1041,tel
1042,pano
1043,seis
1044,selimano
1045,sel
1046,seren
1047,kornis
1048,shanag
1049,chilong
1050,shen
1051,shin
1052,gopana
1053,shuan
1054,shu
1055,siamo
1056,siat
1057,sile
1058,silu
1059,mili
1060,sino
1061,sinopelta
1062,sinopel
1063,sinornitho
1064,sona
1065,kor
1066,milo
1067,soni
1068,sonora
1069,soriatitan
1070,sphaero
1071,spheno
1072,spi
1073,lypeu
1074,spinophoro
1075,spinop
1076,stauri
1077,stegopelta
1078,sauri
1079,stenon
1080,stenopeli
1081,phano
1082,stereo
1083,stor
1084,thi
1085,cino
1086,chop
1087,rion
1088,sugi
1089,manisauru
1090,per
1091,wa
1092,mphy
1093,gono
1094,chuano
1095,talaruru
1096,talen
1097,kau
1098,tam
1099,batitanis
1100,tan
1101,tani
1102,lag
1103,helong
1104,pino
1105,vin
1106,tatan
1107,tata
1108,ine
1109,tatisauru
1110,tauro
1111,vei
1112,huel
1113,tei
1114,tein
1115,teleo
1116,rater
1117,tenan
1118,daguria
1119,risauru
1120,tenon
1121,teratophoneu
1122,terato
1123,thy
1124,shadro
1125,tragono
1126,thei
1127,ophy
1128,talia
1129,thero
1130,spe
1131,heno
1132,mur
1133,titano
1134,tongano
1135,tong
1136,torili
1137,torni
1138,eria
1139,toro
1140,trau
1141,triale
1142,bele
1143,trinisaura
1144,agan
1145,sagan
1146,ugu
1147,strati
1148,berabatitan
1149,runa
1150,alu
1151,una
1152,unen
1153,lagia
1154,une
1155,uni
1156,teo
1157,vaga
1158,val
1159,vari
1160,velo
1161,vela
1162,venati
1163,veneno
1164,teru
1165,ristisauru
1166,krisauru
1167,meria
1168,ria
1169,cano
1170,hur
1171,gonisauru
1172,feria
1173,lina
1174,laga
1175,latelong
1176,yia
1177,enopo
1178,xian
1179,ong
1180,uan
1181,yaleo
1182,yi
1183,bino
1184,meno
1185,yin
1186,yong
1187,ura
1188,yun
1189,yur
1190,zanaba
1191,zar
1192,zan
1193,salis
1194,zara
1195,zato
1196,zhongornis
1197,zhong
1198,jiano
1199,zhuchen
1200,gongo
1201,zhongo
1202,zuni
